Idx,Distance,MPF,RESP_Azi,RESP_Ele,POOA_1,POOA_2,POOA_3,RSSI_1,RSSI_2,RSSI_3,Gain_idx
22205,42.414187,0,-66.557732,28.911917,171.348003,-164.838404,20.589007,-35,-39,-50,6
22206,43.000072,0,80.640381,32.265594,171.946776,177.308267,5.361492,-35,-38,-50,6
22207,42.765666,0,-67.005356,28.464293,171.639149,-165.310831,23.050020,-35,-38,-50,6
22208,43.234453,0,78.192436,32.489407,172.012696,175.978881,3.966185,-35,-39,-50,6
22209,43.585988,0,-65.438675,28.016670,169.782403,-163.596912,22.544633,-35,-38,-50,6
22210,42.999912,0,80.640381,32.713215,173.353069,177.319254,3.955199,-35,-38,-50,6
22211,42.882764,0,76.401947,32.489407,171.089816,174.671468,3.581652,-35,-39,-50,6
22212,43.117168,0,-67.676788,28.464293,170.606403,-166.200751,22.160100,-35,-39,-50,6
22213,42.882913,0,-66.557732,32.489407,172.880642,-164.992218,4.878079,-35,-38,-50,6
22214,43.351484,0,76.178131,32.045280,170.672323,174.550615,4.856105,-35,-38,-50,6
22215,42.648432,0,75.730507,32.265594,170.650349,174.242988,3.988159,-35,-38,-50,6
22216,42.765568,0,-65.438675,28.688105,172.397229,-163.487045,22.160100,-35,-39,-51,6
22217,42.648477,0,75.730507,32.265594,170.221870,174.188055,3.581652,-35,-38,-50,6
22218,42.999985,0,77.968628,32.937027,173.748589,175.737175,4.032105,-35,-38,-51,6
22219,43.351554,0,75.730507,32.489407,170.683309,174.188055,3.065279,-35,-38,-50,6
22220,42.648562,0,76.401947,32.937027,172.397229,174.638508,2.241279,-35,-38,-51,6
22221,42.648479,0,76.401947,32.489407,170.881069,174.715415,3.131199,-35,-38,-50,6
22222,43.234314,0,78.192436,32.713215,172.397229,175.978881,3.581652,-35,-39,-50,6
22223,43.585896,0,77.968628,28.464293,171.111789,175.786615,22.258980,-35,-38,-50,6
22224,43.234393,0,-67.229164,28.688105,171.100803,-165.827204,20.918607,-35,-38,-50,6
22225,43.234315,0,79.087685,32.937027,172.847682,176.418348,2.691733,-35,-38,-50,6
22226,42.648586,0,-68.012505,27.345234,166.629231,-166.651204,23.159886,-35,-38,-50,6
22227,43.234518,0,-65.886299,28.240480,171.540269,-163.959471,23.709220,-35,-39,-51,6
22228,42.999915,0,76.401947,28.240480,170.079043,174.638508,21.929380,-35,-39,-50,6
22229,42.882754,0,79.745132,32.713215,172.430189,176.868801,3.658559,-35,-38,-50,6
22230,43.820230,0,-66.557732,28.016670,171.122776,-164.827418,23.857540,-35,-38,-50,6
22231,42.765656,0,79.087685,32.489407,172.309336,176.418348,4.109012,-35,-38,-50,6
22232,43.000099,0,-69.691093,32.045280,169.309977,-168.639790,3.570666,-35,-39,-50,6
22233,43.117232,0,76.401947,33.160839,173.353069,174.638508,2.230293,-35,-38,-50,6
22234,42.882868,0,79.087685,32.265594,171.496323,176.484268,4.911039,-35,-38,-50,6
22235,43.703174,0,78.192436,28.911917,171.254616,175.967895,20.138554,-35,-38,-50,6
22236,42.765551,0,78.640060,32.489407,171.979736,176.226081,4.438612,-35,-38,-50,6
22237,43.351705,0,-67.005356,28.016670,170.188910,-165.310831,23.050020,-35,-39,-50,6
22238,42.531307,0,77.521004,32.489407,171.957762,175.539415,3.581652,-35,-38,-50,6
22239,42.648475,0,-68.795845,27.569046,168.189337,-167.541124,23.939940,-35,-38,-50,6
22240,43.234405,0,77.521004,27.792858,168.859523,175.517441,23.071993,-35,-38,-50,6
22241,43.000113,0,77.744812,32.265594,171.496323,175.594348,4.471572,-35,-38,-50,6
22242,42.765567,0,76.401947,32.489407,171.056856,174.638508,3.658559,-35,-38,-50,6
22243,42.882978,0,77.744812,32.489407,171.754509,175.616321,3.515732,-35,-39,-50,6
22244,42.882842,0,-67.229164,27.345234,168.738670,-165.750298,25.313272,-35,-38,-50,6
22245,43.117174,0,-71.033966,26.897612,165.728324,-169.974670,23.939940,-35,-38,-51,6
22246,42.648566,0,77.521004,32.489407,171.957762,175.528428,4.460585,-35,-38,-50,6
22247,42.765774,0,-69.019661,30.478598,165.893124,-167.925657,7.602771,-35,-38,-50,6
22248,43.117123,0,-68.795845,32.265594,170.232856,-167.475204,3.131199,-35,-39,-50,6
22249,42.648599,0,77.744812,27.569046,168.958403,175.605335,23.813593,-35,-39,-50,6
22250,43.117066,0,79.087685,33.608463,175.528428,176.429334,2.230293,-35,-38,-50,6
22251,42.765708,0,76.178131,31.597656,168.881497,174.550615,5.328532,-35,-39,-50,6
